"Statistic","Year","Broad age band (4 cat)","Females","Males","All persons"
"Mid-year population estimate",1971,"Age 0-15",236737,246007,482744
"Mid-year population estimate",1971,"Age 16-39",242884,248911,491795
"Mid-year population estimate",1971,"Age 40-64",207353,192443,399796
"Mid-year population estimate",1971,"Age 65+",98826,67252,166078
"Mid-year population estimate",1971,"All",785800,754613,1540413
"Mid-year population estimate",1972,"Age 0-15",236569,246116,482685
"Mid-year population estimate",1972,"Age 16-39",239605,251990,491595
"Mid-year population estimate",1972,"Age 40-64",205462,191844,397306
"Mid-year population estimate",1972,"Age 65+",99832,67559,167391
"Mid-year population estimate",1972,"All",781468,757509,1538977
"Mid-year population estimate",1973,"Age 0-15",234354,245075,479429
"Mid-year population estimate",1973,"Age 16-39",235807,252313,488120
"Mid-year population estimate",1973,"Age 40-64",203043,189998,393041
"Mid-year population estimate",1973,"Age 65+",101044,68359,169403
"Mid-year population estimate",1973,"All",774248,755745,1529993
"Mid-year population estimate",1974,"Age 0-15",233036,244834,477870
"Mid-year population estimate",1974,"Age 16-39",235719,253139,488858
"Mid-year population estimate",1974,"Age 40-64",201169,188161,389330
"Mid-year population estimate",1974,"Age 65+",102025,68859,170884
"Mid-year population estimate",1974,"All",771949,754993,1526942
"Mid-year population estimate",1975,"Age 0-15",231134,243850,474984
"Mid-year population estimate",1975,"Age 16-39",236562,253579,490141
"Mid-year population estimate",1975,"Age 40-64",199371,186720,386091
"Mid-year population estimate",1975,"Age 65+",103100,69202,172302
"Mid-year population estimate",1975,"All",770167,753351,1523518
"Mid-year population estimate",1976,"Age 0-15",228804,242163,470967
"Mid-year population estimate",1976,"Age 16-39",238407,257632,496039
"Mid-year population estimate",1976,"Age 40-64",197718,184510,382228
"Mid-year population estimate",1976,"Age 65+",104547,69740,174287
"Mid-year population estimate",1976,"All",769476,754045,1523521
"Mid-year population estimate",1977,"Age 0-15",226258,239798,466056
"Mid-year population estimate",1977,"Age 16-39",241210,260118,501328
"Mid-year population estimate",1977,"Age 40-64",196310,184076,380386
"Mid-year population estimate",1977,"Age 65+",105604,69936,175540
"Mid-year population estimate",1977,"All",769382,753928,1523310
"Mid-year population estimate",1978,"Age 0-15",223208,236848,460056
"Mid-year population estimate",1978,"Age 16-39",244975,263442,508417
"Mid-year population estimate",1978,"Age 40-64",194628,182838,377466
"Mid-year population estimate",1978,"Age 65+",106843,70443,177286
"Mid-year population estimate",1978,"All",769654,753571,1523225
"Mid-year population estimate",1979,"Age 0-15",221032,233798,454830
"Mid-year population estimate",1979,"Age 16-39",249965,268185,518150
"Mid-year population estimate",1979,"Age 40-64",194036,182510,376546
"Mid-year population estimate",1979,"Age 65+",108055,70672,178727
"Mid-year population estimate",1979,"All",773088,755165,1528253
"Mid-year population estimate",1980,"Age 0-15",218742,231270,450012
"Mid-year population estimate",1980,"Age 16-39",256282,272113,528395
"Mid-year population estimate",1980,"Age 40-64",193631,180347,373978
"Mid-year population estimate",1980,"Age 65+",109356,71032,180388
"Mid-year population estimate",1980,"All",778011,754762,1532773
"Mid-year population estimate",1981,"Age 0-15",216033,228025,444058
"Mid-year population estimate",1981,"Age 16-39",261158,273721,534879
"Mid-year population estimate",1981,"Age 40-64",196021,180348,376369
"Mid-year population estimate",1981,"Age 65+",113127,74531,187658
"Mid-year population estimate",1981,"All",786339,756625,1542964
"Mid-year population estimate",1982,"Age 0-15",213721,224574,438295
"Mid-year population estimate",1982,"Age 16-39",263808,276058,539866
"Mid-year population estimate",1982,"Age 40-64",196831,181589,378420
"Mid-year population estimate",1982,"Age 65+",113448,74516,187964
"Mid-year population estimate",1982,"All",787808,756737,1544545
"Mid-year population estimate",1983,"Age 0-15",211277,221776,433053
"Mid-year population estimate",1983,"Age 16-39",267310,278796,546106
"Mid-year population estimate",1983,"Age 40-64",199010,183943,382953
"Mid-year population estimate",1983,"Age 65+",113950,74498,188448
"Mid-year population estimate",1983,"All",791547,759013,1550560
"Mid-year population estimate",1984,"Age 0-15",209154,219376,428530
"Mid-year population estimate",1984,"Age 16-39",271147,281033,552180
"Mid-year population estimate",1984,"Age 40-64",200727,185867,386594
"Mid-year population estimate",1984,"Age 65+",114981,75032,190013
"Mid-year population estimate",1984,"All",796009,761308,1557317
"Mid-year population estimate",1985,"Age 0-15",207306,217792,425098
"Mid-year population estimate",1985,"Age 16-39",274688,283811,558499
"Mid-year population estimate",1985,"Age 40-64",201697,186960,388657
"Mid-year population estimate",1985,"Age 65+",116756,76342,193098
"Mid-year population estimate",1985,"All",800447,764905,1565352
"Mid-year population estimate",1986,"Age 0-15",206138,216783,422921
"Mid-year population estimate",1986,"Age 16-39",278112,285889,564001
"Mid-year population estimate",1986,"Age 40-64",202565,188228,390793
"Mid-year population estimate",1986,"Age 65+",118303,77483,195786
"Mid-year population estimate",1986,"All",805118,768383,1573501
"Mid-year population estimate",1987,"Age 0-15",205106,216009,421115
"Mid-year population estimate",1987,"Age 16-39",279627,287658,567285
"Mid-year population estimate",1987,"Age 40-64",204218,190282,394500
"Mid-year population estimate",1987,"Age 65+",120153,78901,199054
"Mid-year population estimate",1987,"All",809104,772850,1581954
"Mid-year population estimate",1988,"Age 0-15",204692,215281,419973
"Mid-year population estimate",1988,"Age 16-39",279735,286575,566310
"Mid-year population estimate",1988,"Age 40-64",205804,192304,398108
"Mid-year population estimate",1988,"Age 65+",121429,79620,201049
"Mid-year population estimate",1988,"All",811660,773780,1585440
"Mid-year population estimate",1989,"Age 0-15",203517,214052,417569
"Mid-year population estimate",1989,"Age 16-39",280764,286723,567487
"Mid-year population estimate",1989,"Age 40-64",207230,194353,401583
"Mid-year population estimate",1989,"Age 65+",122985,80811,203796
"Mid-year population estimate",1989,"All",814496,775939,1590435
"Mid-year population estimate",1990,"Age 0-15",203042,213053,416095
"Mid-year population estimate",1990,"Age 16-39",281784,286724,568508
"Mid-year population estimate",1990,"Age 40-64",209017,196561,405578
"Mid-year population estimate",1990,"Age 65+",123868,81546,205414
"Mid-year population estimate",1990,"All",817711,777884,1595595
"Mid-year population estimate",1991,"Age 0-15",203297,213242,416539
"Mid-year population estimate",1991,"Age 16-39",284597,287973,572570
"Mid-year population estimate",1991,"Age 40-64",210880,199032,409912
"Mid-year population estimate",1991,"Age 65+",125371,82903,208274
"Mid-year population estimate",1991,"All",824145,783150,1607295
"Mid-year population estimate",1992,"Age 0-15",204163,213806,417969
"Mid-year population estimate",1992,"Age 16-39",287496,292662,580158
"Mid-year population estimate",1992,"Age 40-64",212790,201632,414422
"Mid-year population estimate",1992,"Age 65+",126698,84016,210714
"Mid-year population estimate",1992,"All",831147,792116,1623263
"Mid-year population estimate",1993,"Age 0-15",204610,213918,418528
"Mid-year population estimate",1993,"Age 16-39",290128,294806,584934
"Mid-year population estimate",1993,"Age 40-64",215067,204883,419950
"Mid-year population estimate",1993,"Age 65+",127535,84605,212140
"Mid-year population estimate",1993,"All",837340,798212,1635552
"Mid-year population estimate",1994,"Age 0-15",204402,213497,417899
"Mid-year population estimate",1994,"Age 16-39",291998,295424,587422
"Mid-year population estimate",1994,"Age 40-64",217163,207917,425080
"Mid-year population estimate",1994,"Age 65+",128198,85108,213306
"Mid-year population estimate",1994,"All",841761,801946,1643707
"Mid-year population estimate",1995,"Age 0-15",203531,212926,416457
"Mid-year population estimate",1995,"Age 16-39",293192,294116,587308
"Mid-year population estimate",1995,"Age 40-64",219340,211049,430389
"Mid-year population estimate",1995,"Age 65+",129054,85923,214977
"Mid-year population estimate",1995,"All",845117,804014,1649131
"Mid-year population estimate",1996,"Age 0-15",202906,212221,415127
"Mid-year population estimate",1996,"Age 16-39",295892,296049,591941
"Mid-year population estimate",1996,"Age 40-64",222686,215190,437876
"Mid-year population estimate",1996,"Age 65+",129920,86887,216807
"Mid-year population estimate",1996,"All",851404,810347,1661751
"Mid-year population estimate",1997,"Age 0-15",202000,211448,413448
"Mid-year population estimate",1997,"Age 16-39",296888,297257,594145
"Mid-year population estimate",1997,"Age 40-64",226545,219174,445719
"Mid-year population estimate",1997,"Age 65+",130309,87640,217949
"Mid-year population estimate",1997,"All",855742,815519,1671261
"Mid-year population estimate",1998,"Age 0-15",200721,210531,411252
"Mid-year population estimate",1998,"Age 16-39",296665,295963,592628
"Mid-year population estimate",1998,"Age 40-64",230811,223670,454481
"Mid-year population estimate",1998,"Age 65+",130903,88505,219408
"Mid-year population estimate",1998,"All",859100,818669,1677769
"Mid-year population estimate",1999,"Age 0-15",198798,208712,407510
"Mid-year population estimate",1999,"Age 16-39",295563,292671,588234
"Mid-year population estimate",1999,"Age 40-64",235159,227965,463124
"Mid-year population estimate",1999,"Age 65+",130988,89150,220138
"Mid-year population estimate",1999,"All",860508,818498,1679006
"Mid-year population estimate",2000,"Age 0-15",196442,206747,403189
"Mid-year population estimate",2000,"Age 16-39",294984,291131,586115
"Mid-year population estimate",2000,"Age 40-64",239912,232480,472392
"Mid-year population estimate",2000,"Age 65+",131128,90120,221248
"Mid-year population estimate",2000,"All",862466,820478,1682944
"Mid-year population estimate",2001,"Age 0-15",193422,204111,397533
"Mid-year population estimate",2001,"Age 16-39",293868,290845,584713
"Mid-year population estimate",2001,"Age 40-64",245011,237491,482502
"Mid-year population estimate",2001,"Age 65+",132264,91826,224090
"Mid-year population estimate",2001,"All",864565,824273,1688838
"Mid-year population estimate",2002,"Age 0-15",190783,200873,391656
"Mid-year population estimate",2002,"Age 16-39",294840,292720,587560
"Mid-year population estimate",2002,"Age 40-64",249568,241921,491489
"Mid-year population estimate",2002,"Age 65+",133357,93472,226829
"Mid-year population estimate",2002,"All",868548,828986,1697534
"Mid-year population estimate",2003,"Age 0-15",188039,197868,385907
"Mid-year population estimate",2003,"Age 16-39",295063,293357,588420
"Mid-year population estimate",2003,"Age 40-64",254384,246854,501238
"Mid-year population estimate",2003,"Age 65+",134334,95025,229359
"Mid-year population estimate",2003,"All",871820,833104,1704924
"Mid-year population estimate",2004,"Age 0-15",185676,195571,381247
"Mid-year population estimate",2004,"Age 16-39",295237,293494,588731
"Mid-year population estimate",2004,"Age 40-64",259489,252405,511894
"Mid-year population estimate",2004,"Age 65+",135389,96781,232170
"Mid-year population estimate",2004,"All",875791,838251,1714042
"Mid-year population estimate",2005,"Age 0-15",184562,194208,378770
"Mid-year population estimate",2005,"Age 16-39",296042,294345,590387
"Mid-year population estimate",2005,"Age 40-64",265341,258330,523671
"Mid-year population estimate",2005,"Age 65+",136487,98418,234905
"Mid-year population estimate",2005,"All",882432,845301,1727733
"Mid-year population estimate",2006,"Age 0-15",183801,193348,377149
"Mid-year population estimate",2006,"Age 16-39",297555,295347,592902
"Mid-year population estimate",2006,"Age 40-64",270922,264090,535012
"Mid-year population estimate",2006,"Age 65+",137725,100325,238050
"Mid-year population estimate",2006,"All",890003,853110,1743113
"Mid-year population estimate",2007,"Age 0-15",183664,193409,377073
"Mid-year population estimate",2007,"Age 16-39",300361,297054,597415
"Mid-year population estimate",2007,"Age 40-64",276005,269262,545267
"Mid-year population estimate",2007,"Age 65+",139397,102531,241928
"Mid-year population estimate",2007,"All",899427,862256,1761683
"Mid-year population estimate",2008,"Age 0-15",184419,194066,378485
"Mid-year population estimate",2008,"Age 16-39",301613,297718,599331
"Mid-year population estimate",2008,"Age 40-64",280215,273621,553836
"Mid-year population estimate",2008,"Age 65+",141907,105593,247500
"Mid-year population estimate",2008,"All",908154,870998,1779152
"Mid-year population estimate",2009,"Age 0-15",184791,194729,379520
"Mid-year population estimate",2009,"Age 16-39",301461,297714,599175
"Mid-year population estimate",2009,"Age 40-64",284018,277253,561271
"Mid-year population estimate",2009,"Age 65+",144501,108866,253367
"Mid-year population estimate",2009,"All",914771,878562,1793333
"Mid-year population estimate",2010,"Age 0-15",184943,195016,379959
"Mid-year population estimate",2010,"Age 16-39",300312,296444,596756
"Mid-year population estimate",2010,"Age 40-64",287728,280755,568483
"Mid-year population estimate",2010,"Age 65+",147315,112320,259635
"Mid-year population estimate",2010,"All",920298,884535,1804833
"Mid-year population estimate",2011,"Age 0-15",185475,195331,380806
"Mid-year population estimate",2011,"Age 16-39",298223,294222,592445
"Mid-year population estimate",2011,"Age 40-64",291249,284056,575305
"Mid-year population estimate",2011,"Age 65+",150049,115713,265762
"Mid-year population estimate",2011,"All",924996,889322,1814318
"Mid-year population estimate",2012,"Age 0-15",186158,195808,381966
"Mid-year population estimate",2012,"Age 16-39",296414,292493,588907
"Mid-year population estimate",2012,"Age 40-64",293762,286999,580761
"Mid-year population estimate",2012,"Age 65+",153402,119567,272969
"Mid-year population estimate",2012,"All",929736,894867,1824603
"Mid-year population estimate",2013,"Age 0-15",186392,195560,381952
"Mid-year population estimate",2013,"Age 16-39",294851,289773,584624
"Mid-year population estimate",2013,"Age 40-64",296395,289261,585656
"Mid-year population estimate",2013,"Age 65+",156243,123202,279445
"Mid-year population estimate",2013,"All",933881,897796,1831677
"Mid-year population estimate",2014,"Age 0-15",186780,195880,382660
"Mid-year population estimate",2014,"Age 16-39",294487,289378,583865
"Mid-year population estimate",2014,"Age 40-64",298995,291272,590267
"Mid-year population estimate",2014,"Age 65+",159337,127057,286394
"Mid-year population estimate",2014,"All",939599,903587,1843186
"Mid-year population estimate",2015,"Age 0-15",187408,196362,383770
"Mid-year population estimate",2015,"Age 16-39",294562,290047,584609
"Mid-year population estimate",2015,"Age 40-64",300850,293217,594067
"Mid-year population estimate",2015,"Age 65+",161953,130544,292497
"Mid-year population estimate",2015,"All",944773,910170,1854943
"Mid-year population estimate",2016,"Age 0-15",188581,197658,386239
"Mid-year population estimate",2016,"Age 16-39",293609,289916,583525
"Mid-year population estimate",2016,"Age 40-64",302865,294620,597485
"Mid-year population estimate",2016,"Age 65+",164613,134180,298793
"Mid-year population estimate",2016,"All",949668,916374,1866042
"Mid-year population estimate",2017,"Age 0-15",189448,198706,388154
"Mid-year population estimate",2017,"Age 16-39",292570,289017,581587
"Mid-year population estimate",2017,"Age 40-64",304871,296286,601157
"Mid-year population estimate",2017,"Age 65+",166826,137454,304280
"Mid-year population estimate",2017,"All",953715,921463,1875178
"Mid-year population estimate",2018,"Age 0-15",190347,199964,390311
"Mid-year population estimate",2018,"Age 16-39",292335,288957,581292
"Mid-year population estimate",2018,"Age 40-64",306901,297766,604667
"Mid-year population estimate",2018,"Age 65+",169278,140711,309989
"Mid-year population estimate",2018,"All",958861,927398,1886259
"Mid-year population estimate",2019,"Age 0-15",191008,200648,391656
"Mid-year population estimate",2019,"Age 16-39",291429,288746,580175
"Mid-year population estimate",2019,"Age 40-64",310007,299735,609742
"Mid-year population estimate",2019,"Age 65+",172225,144721,316946
"Mid-year population estimate",2019,"All",964669,933850,1898519
"Mid-year population estimate",2020,"Age 0-15",190260,199852,390112
"Mid-year population estimate",2020,"Age 16-39",287652,285195,572847
"Mid-year population estimate",2020,"Age 40-64",312931,301949,614880
"Mid-year population estimate",2020,"Age 65+",174566,148118,322684
"Mid-year population estimate",2020,"All",965409,935114,1900523
"Mid-year population estimate",2021,"Age 0-15",189296,198880,388176
"Mid-year population estimate",2021,"Age 16-39",285790,283817,569607
"Mid-year population estimate",2021,"Age 40-64",315116,302439,617555
"Mid-year population estimate",2021,"Age 65+",177548,151678,329226
"Mid-year population estimate",2021,"All",967750,936814,1904564
"Mid-year population estimate",2022,"Age 0-15",189990,199445,389435
"Mid-year population estimate",2022,"Age 16-39",283156,282701,565857
"Mid-year population estimate",2022,"Age 40-64",316937,302865,619802
"Mid-year population estimate",2022,"Age 65+",180513,154936,335449
"Mid-year population estimate",2022,"All",970596,939947,1910543
"Mid-year population estimate",2023,"Age 0-15",189448,198771,388219
"Mid-year population estimate",2023,"Age 16-39",283236,284568,567804
"Mid-year population estimate",2023,"Age 40-64",318234,303643,621877
"Mid-year population estimate",2023,"Age 65+",183979,158503,342482
"Mid-year population estimate",2023,"All",974897,945485,1920382
"Mid-year population estimate",2024,"Age 0-15",187734,196948,384682
"Mid-year population estimate",2024,"Age 16-39",283850,287329,571179
"Mid-year population estimate",2024,"Age 40-64",318999,303801,622800
"Mid-year population estimate",2024,"Age 65+",187482,161712,349194
"Mid-year population estimate",2024,"All",978065,949790,1927855
